15:18Z 1min   LABEL                        {'label': 'APATHY', 'structural': 'APATHY', 'segment': 'cash', 'high': 10786.1, 'low': 10784.3, 'close': 10785.3, 'rel_volume': 0.34, 'location_ref': 'session_low', 'location_level': 10782.8, 'dist_pts': 2.5, 'dist_signal_atr': np.float64(0.21)}
15:23Z 1min   LABEL                        {'label': 'APATHY', 'structural': 'APATHY', 'segment': 'cash', 'high': 10783.1, 'low': 10781.1, 'close': 10782.3, 'rel_volume': 0.6, 'location_ref': 'signal_swing_level', 'location_level': np.float64(10780.8), 'dist_pts': np.float64(1.5), 'dist_signal_atr': np.float64(0.13)}
