# narrate replay uk100fut 2026-08-10 00:00:00+00:00 -> 2026-08-14 10:00:00+00:00 stack 1h/15min/1min (narrative-only=True)
# convention: bars stamped by CLOSE time; store/TradingView open-time stamp = close - TF
# state @ window start: 1h: phase=RANGING trend=+1 age=0 atr=21.2 close=10896.4 | 15min: phase=RANGING trend=-1 age=17 atr=6.1 close=10896.1; active hypotheses: none
timestamp_close_iso,timestamp_open_iso,marker_type,price_level,direction,segment,outcome,gate_branch,strength_trajectory,variant,entry,stop,exit,location_ref,location_level,dist_pts,dist_signal_atr
2026-08-10T00:03:00+00:00,2026-08-10T00:02:00+00:00,EFFORTLESS_DECLINE_3min_OBSERVATIONAL,10880.6,,overnight_asia,SIGNATURE_MOMENT,,,narrate,,,,,,,
2026-08-10T00:05:00+00:00,2026-08-10T00:04:00+00:00,EFFORTLESS_DECLINE_5min_OBSERVATIONAL,10880.3,,overnight_asia,SIGNATURE_MOMENT,,,narrate,,,,,,,
2026-08-10T00:11:00+00:00,2026-08-10T00:10:00+00:00,EFFORTLESS_ADVANCE_1min_OBSERVATIONAL,10883.0,,overnight_asia,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10881.6,1.4,0.23
2026-08-10T00:17:00+00:00,2026-08-10T00:16:00+00:00,EFFORTLESS_DECLINE_1min_OBSERVATIONAL,10876.6,,overnight_asia,SIGNATURE_MOMENT,,,narrate,,,,session_low,10876.2,0.4,0.06
2026-08-10T00:19:00+00:00,2026-08-10T00:18:00+00:00,EFFORTLESS_ADVANCE_1min_OBSERVATIONAL,10879.2,,overnight_asia,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10881.6,-2.4,-0.34
2026-08-10T00:20:00+00:00,2026-08-10T00:19:00+00:00,EFFORTLESS_DECLINE_1min_OBSERVATIONAL,10876.4,,overnight_asia,SIGNATURE_MOMENT,,,narrate,,,,session_low,10876.0,0.4,0.06
2026-08-10T00:41:00+00:00,2026-08-10T00:40:00+00:00,ABSORPTION_1min_OBSERVATIONAL,10879.8,,overnight_asia,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10881.6,-1.8,-0.25
2026-08-10T00:42:00+00:00,2026-08-10T00:41:00+00:00,ABSORPTION_3min_OBSERVATIONAL,10879.1,,overnight_asia,SIGNATURE_MOMENT,,,narrate,,,,,,,
2026-08-10T00:42:00+00:00,2026-08-10T00:41:00+00:00,ABSORPTION_1min_OBSERVATIONAL,10879.1,,overnight_asia,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10881.6,-2.5,-0.35
2026-08-10T00:58:00+00:00,2026-08-10T00:57:00+00:00,EFFORTLESS_ADVANCE_1min_OBSERVATIONAL,10878.1,,overnight_asia,SIGNATURE_MOMENT,,,narrate,,,,signal_swing_level,10881.6,-3.5,-0.51
