time,open,high,low,close,volume,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2024-08-19 13:00:00+00:00,19622.1,19638.5,19544.9,19587.1,41241,0.8999999999978172,True,2024-08-19 14:00:00,14.0,2024-08-19,False,False
2024-08-19 14:00:00+00:00,19587.4,19661.4,19529.4,19654.8,50228,0.9000000000014552,True,2024-08-19 15:00:00,15.0,2024-08-19,True,False
2024-08-19 15:00:00+00:00,19655.1,19679.8,19619.0,19638.1,27233,0.8999999999978172,True,2024-08-19 16:00:00,16.0,2024-08-19,True,False
2024-08-19 16:00:00+00:00,19638.5,19699.5,19620.5,19692.8,19291,0.9000000000014552,True,2024-08-19 17:00:00,17.0,2024-08-19,True,False
2024-08-19 17:00:00+00:00,19692.5,19722.6,19674.8,19721.6,14803,0.8999999999978172,True,2024-08-19 18:00:00,18.0,2024-08-19,True,False
2024-08-19 18:00:00+00:00,19722.1,19786.0,19719.1,19769.6,15514,0.8999999999978172,True,2024-08-19 19:00:00,19.0,2024-08-19,True,False
2024-08-19 19:00:00+00:00,19769.9,19861.0,19756.3,19860.4,22423,0.8999999999978172,True,2024-08-19 20:00:00,20.0,2024-08-19,True,False
2024-08-19 20:00:00+00:00,19860.0,19871.5,19832.8,19852.9,5731,1.5,True,2024-08-19 21:00:00,21.0,2024-08-19,False,False
2024-08-19 22:00:00+00:00,19859.4,19879.5,19859.4,19868.1,2889,1.5,True,2024-08-19 23:00:00,23.0,2024-08-19,False,False
2024-08-19 23:00:00+00:00,19868.0,19875.4,19858.0,19860.5,2156,1.5,True,2024-08-20 00:00:00,0.0,2024-08-20,False,False
2024-08-20 00:00:00+00:00,19860.9,19870.3,19857.9,19866.0,3291,1.5,True,2024-08-20 01:00:00,1.0,2024-08-20,False,False
2024-08-20 01:00:00+00:00,19865.6,19888.6,19845.5,19887.4,4772,1.5,True,2024-08-20 02:00:00,2.0,2024-08-20,False,False
2024-08-20 02:00:00+00:00,19887.5,19913.9,19882.0,19912.3,3823,1.5,True,2024-08-20 03:00:00,3.0,2024-08-20,False,False
2024-08-20 03:00:00+00:00,19911.9,19911.9,19869.4,19876.4,3622,1.5,True,2024-08-20 04:00:00,4.0,2024-08-20,False,False
2024-08-20 04:00:00+00:00,19875.8,19894.0,19872.9,19882.8,3219,1.5,True,2024-08-20 05:00:00,5.0,2024-08-20,False,False
2024-08-20 05:00:00+00:00,19883.0,19897.3,19876.6,19889.0,3927,1.5,True,2024-08-20 06:00:00,6.0,2024-08-20,False,False
2024-08-20 06:00:00+00:00,19888.6,19903.4,19873.9,19892.0,4054,1.4000000000014552,True,2024-08-20 07:00:00,7.0,2024-08-20,False,False
2024-08-20 07:00:00+00:00,19892.5,19930.6,19883.3,19910.8,5894,1.4000000000014552,True,2024-08-20 08:00:00,8.0,2024-08-20,False,False
2024-08-20 08:00:00+00:00,19911.1,19912.9,19849.9,19875.4,6191,1.3999999999978172,True,2024-08-20 09:00:00,9.0,2024-08-20,False,False
2024-08-20 09:00:00+00:00,19875.3,19900.8,19874.0,19882.1,4329,1.3999999999978172,True,2024-08-20 10:00:00,10.0,2024-08-20,False,False
2024-08-20 10:00:00+00:00,19881.6,19891.8,19869.3,19878.1,4508,1.3999999999978172,True,2024-08-20 11:00:00,11.0,2024-08-20,False,False
2024-08-20 11:00:00+00:00,19878.4,19889.8,19861.6,19874.0,4440,1.4000000000014552,True,2024-08-20 12:00:00,12.0,2024-08-20,False,False
2024-08-20 12:00:00+00:00,19874.1,19879.3,19842.1,19847.9,5721,1.3999999999978172,True,2024-08-20 13:00:00,13.0,2024-08-20,False,False
2024-08-20 13:00:00+00:00,19848.4,19924.9,19812.4,19918.5,36082,0.9000000000014552,True,2024-08-20 14:00:00,14.0,2024-08-20,False,False
2024-08-20 14:00:00+00:00,19918.3,19923.3,19743.0,19785.4,62815,0.8999999999978172,True,2024-08-20 15:00:00,15.0,2024-08-20,True,False
2024-08-20 15:00:00+00:00,19785.8,19853.4,19772.8,19852.8,40279,0.9000000000014552,True,2024-08-20 16:00:00,16.0,2024-08-20,True,False
2024-08-20 16:00:00+00:00,19853.1,19857.9,19776.1,19778.0,29052,0.9000000000014552,True,2024-08-20 17:00:00,17.0,2024-08-20,True,False
2024-08-20 17:00:00+00:00,19778.3,19812.4,19748.4,19809.8,27161,0.9000000000014552,True,2024-08-20 18:00:00,18.0,2024-08-20,True,False
2024-08-20 18:00:00+00:00,19810.0,19867.5,19802.3,19851.5,20690,0.9000000000014552,True,2024-08-20 19:00:00,19.0,2024-08-20,True,False
2024-08-20 19:00:00+00:00,19851.9,19859.5,19803.8,19810.6,25356,0.8999999999978172,True,2024-08-20 20:00:00,20.0,2024-08-20,True,False
2024-08-20 20:00:00+00:00,19810.1,19832.8,19803.0,19804.8,4557,1.5,True,2024-08-20 21:00:00,21.0,2024-08-20,False,False
2024-08-20 22:00:00+00:00,19799.9,19816.9,19788.1,19797.1,2613,1.5,True,2024-08-20 23:00:00,23.0,2024-08-20,False,False
2024-08-20 23:00:00+00:00,19797.3,19805.9,19786.3,19790.3,2978,1.5,True,2024-08-21 00:00:00,0.0,2024-08-21,False,False
2024-08-21 00:00:00+00:00,19789.8,19828.8,19789.3,19825.8,4695,1.5,True,2024-08-21 01:00:00,1.0,2024-08-21,False,False
2024-08-21 01:00:00+00:00,19825.6,19833.8,19815.1,19817.5,4946,1.5,True,2024-08-21 02:00:00,2.0,2024-08-21,False,False
2024-08-21 02:00:00+00:00,19817.9,19827.3,19807.8,19821.5,3539,1.5,True,2024-08-21 03:00:00,3.0,2024-08-21,False,False
2024-08-21 03:00:00+00:00,19821.8,19841.8,19821.1,19831.9,2874,1.5,True,2024-08-21 04:00:00,4.0,2024-08-21,False,False
2024-08-21 04:00:00+00:00,19832.1,19848.6,19830.3,19848.4,2108,1.5,True,2024-08-21 05:00:00,5.0,2024-08-21,False,False
2024-08-21 05:00:00+00:00,19848.5,19855.3,19827.5,19832.4,3410,1.5,True,2024-08-21 06:00:00,6.0,2024-08-21,False,False
2024-08-21 06:00:00+00:00,19832.0,19834.8,19808.1,19814.0,3787,1.4000000000014552,True,2024-08-21 07:00:00,7.0,2024-08-21,False,False
2024-08-21 07:00:00+00:00,19814.1,19833.6,19799.5,19816.4,5240,1.3999999999978172,True,2024-08-21 08:00:00,8.0,2024-08-21,False,False
2024-08-21 08:00:00+00:00,19816.3,19831.1,19794.8,19802.1,6123,1.3999999999978172,True,2024-08-21 09:00:00,9.0,2024-08-21,False,False
2024-08-21 09:00:00+00:00,19802.3,19813.0,19790.6,19795.4,4558,1.3999999999978172,True,2024-08-21 10:00:00,10.0,2024-08-21,False,False
2024-08-21 10:00:00+00:00,19795.1,19844.4,19795.1,19841.4,4060,1.3999999999978172,True,2024-08-21 11:00:00,11.0,2024-08-21,False,False
2024-08-21 11:00:00+00:00,19841.3,19861.1,19824.3,19832.5,5484,1.4000000000014552,True,2024-08-21 12:00:00,12.0,2024-08-21,False,False
2024-08-21 12:00:00+00:00,19833.0,19863.3,19823.6,19839.0,5461,1.4000000000014552,True,2024-08-21 13:00:00,13.0,2024-08-21,False,False
2024-08-21 13:00:00+00:00,19839.1,19884.0,19813.3,19879.0,36058,0.9000000000014552,True,2024-08-21 14:00:00,14.0,2024-08-21,False,False
2024-08-21 14:00:00+00:00,19880.0,19981.8,19804.4,19834.8,79225,0.9000000000014552,True,2024-08-21 15:00:00,15.0,2024-08-21,True,False
2024-08-21 15:00:00+00:00,19834.4,19894.1,19802.8,19824.5,44867,0.9000000000014552,True,2024-08-21 16:00:00,16.0,2024-08-21,True,False
2024-08-21 16:00:00+00:00,19824.8,19879.3,19771.8,19871.0,28383,0.9000000000014552,True,2024-08-21 17:00:00,17.0,2024-08-21,True,False
2024-08-21 17:00:00+00:00,19870.8,19900.8,19854.8,19893.6,19307,0.8999999999978172,True,2024-08-21 18:00:00,18.0,2024-08-21,True,False
2024-08-21 18:00:00+00:00,19893.9,19952.6,19878.4,19904.3,36645,0.9000000000014552,True,2024-08-21 19:00:00,19.0,2024-08-21,True,False
2024-08-21 19:00:00+00:00,19904.0,19922.4,19832.8,19906.1,36113,0.8999999999978172,True,2024-08-21 20:00:00,20.0,2024-08-21,True,False
2024-08-21 20:00:00+00:00,19906.5,19925.5,19881.3,19919.4,6306,1.5,True,2024-08-21 21:00:00,21.0,2024-08-21,False,False
2024-08-21 22:00:00+00:00,19919.8,19943.8,19913.0,19935.5,2496,1.5,True,2024-08-21 23:00:00,23.0,2024-08-21,False,False
2024-08-21 23:00:00+00:00,19935.3,19939.5,19924.6,19936.4,2165,1.5,True,2024-08-22 00:00:00,0.0,2024-08-22,False,False
2024-08-22 00:00:00+00:00,19935.8,19944.0,19928.6,19929.8,3894,1.5,True,2024-08-22 01:00:00,1.0,2024-08-22,False,False
2024-08-22 01:00:00+00:00,19929.6,19934.6,19918.8,19927.1,3436,1.5,True,2024-08-22 02:00:00,2.0,2024-08-22,False,False
2024-08-22 02:00:00+00:00,19927.3,19927.3,19878.3,19885.0,4740,1.5,True,2024-08-22 03:00:00,3.0,2024-08-22,False,False
2024-08-22 03:00:00+00:00,19885.1,19888.8,19866.4,19882.5,3549,1.5,True,2024-08-22 04:00:00,4.0,2024-08-22,False,False
2024-08-22 04:00:00+00:00,19882.6,19902.3,19876.6,19900.5,2692,1.5,True,2024-08-22 05:00:00,5.0,2024-08-22,False,False
2024-08-22 05:00:00+00:00,19900.8,19907.8,19892.9,19893.0,2958,1.5,True,2024-08-22 06:00:00,6.0,2024-08-22,False,False
2024-08-22 06:00:00+00:00,19893.5,19919.0,19887.6,19916.5,3185,1.4000000000014552,True,2024-08-22 07:00:00,7.0,2024-08-22,False,False
