time,open,high,low,close,volume,n_bars,cash_frac,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2024-08-11 22:00:00+00:00,8201.8,8206.0,8171.4,8201.6,2348,1,0.0,5.0,True,2024-08-11 23:00:00,23.0,2024-08-11,False,False
2024-08-11 23:00:00+00:00,8201.4,8219.6,8195.3,8218.1,4349,4,0.0,5.0,True,2024-08-12 00:00:00,0.0,2024-08-12,False,False
2024-08-12 03:00:00+00:00,8218.2,8219.0,8197.5,8212.3,2473,4,0.0,4.0,True,2024-08-12 04:00:00,4.0,2024-08-12,False,False
2024-08-12 07:00:00+00:00,8211.5,8231.5,8189.0,8215.3,7159,4,1.0,0.5999999999994543,True,2024-08-12 08:00:00,8.0,2024-08-12,True,False
2024-08-12 11:00:00+00:00,8215.0,8230.8,8196.8,8228.8,9139,4,1.0,0.599999999999909,True,2024-08-12 12:00:00,12.0,2024-08-12,True,False
2024-08-12 15:00:00+00:00,8228.5,8238.8,8210.3,8224.5,8583,4,0.25,1.0,True,2024-08-12 16:00:00,16.0,2024-08-12,True,False
2024-08-12 19:00:00+00:00,8224.0,8231.0,8215.3,8225.8,2839,3,0.0,3.6666666666666665,True,2024-08-12 20:00:00,20.0,2024-08-12,False,False
2024-08-12 23:00:00+00:00,8226.0,8245.8,8223.0,8238.3,4196,4,0.0,5.0,True,2024-08-13 00:00:00,0.0,2024-08-13,False,False
2024-08-13 03:00:00+00:00,8238.4,8241.1,8213.5,8237.3,2450,4,0.0,4.0,True,2024-08-13 04:00:00,4.0,2024-08-13,False,False
2024-08-13 07:00:00+00:00,8237.0,8251.0,8190.8,8200.8,8479,4,1.0,0.5999999999994543,True,2024-08-13 08:00:00,8.0,2024-08-13,True,False
2024-08-13 11:00:00+00:00,8201.0,8236.3,8196.8,8231.0,12321,4,1.0,0.5999999999989996,True,2024-08-13 12:00:00,12.0,2024-08-13,True,False
2024-08-13 15:00:00+00:00,8231.3,8253.8,8230.3,8253.0,4821,4,0.25,1.0,True,2024-08-13 16:00:00,16.0,2024-08-13,True,False
2024-08-13 19:00:00+00:00,8252.8,8265.8,8252.8,8258.3,2698,3,0.0,3.6666666666666665,True,2024-08-13 20:00:00,20.0,2024-08-13,False,False
2024-08-13 23:00:00+00:00,8258.1,8279.5,8256.6,8268.8,3955,4,0.0,5.0,True,2024-08-14 00:00:00,0.0,2024-08-14,False,False
2024-08-14 03:00:00+00:00,8269.0,8316.3,8258.5,8292.0,2802,4,0.0,4.0,True,2024-08-14 04:00:00,4.0,2024-08-14,False,False
2024-08-14 07:00:00+00:00,8291.8,8296.0,8265.0,8269.0,9298,4,1.0,0.5999999999994543,True,2024-08-14 08:00:00,8.0,2024-08-14,True,False
2024-08-14 11:00:00+00:00,8268.8,8274.8,8247.0,8273.5,11981,4,1.0,0.5999999999985448,True,2024-08-14 12:00:00,12.0,2024-08-14,True,False
