time,open,high,low,close,volume,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2012-03-26 00:00:00+00:00,5854.9,5913.1,5854.5,5902.7,0,0.0,False,2012-03-26 01:00:00,1.0,2012-03-26,True,False
2012-03-27 00:00:00+00:00,5902.7,5941.9,5863.8,5869.6,0,0.0,False,2012-03-27 01:00:00,1.0,2012-03-27,True,False
2012-03-28 00:00:00+00:00,5869.6,5877.9,5809.0,5809.0,0,0.0,False,2012-03-28 01:00:00,1.0,2012-03-28,True,False
2012-03-29 00:00:00+00:00,5809.0,5812.2,5726.5,5742.0,0,0.0,False,2012-03-29 01:00:00,1.0,2012-03-29,True,False
2012-03-30 00:00:00+00:00,5742.0,5782.7,5742.0,5768.5,0,0.0,False,2012-03-30 01:00:00,1.0,2012-03-30,True,False
2012-04-02 00:00:00+00:00,5768.5,5874.9,5748.6,5874.9,0,0.0,False,2012-04-02 01:00:00,1.0,2012-04-02,True,False
2012-04-03 00:00:00+00:00,5874.9,5890.2,5838.3,5838.3,0,0.0,False,2012-04-03 01:00:00,1.0,2012-04-03,True,False
2012-04-04 00:00:00+00:00,5838.3,5838.3,5685.7,5703.8,0,0.0,False,2012-04-04 01:00:00,1.0,2012-04-04,True,False
2012-04-05 00:00:00+00:00,5703.8,5731.7,5663.3,5723.7,0,0.0,False,2012-04-05 01:00:00,1.0,2012-04-05,True,False
2012-04-06 00:00:00+00:00,5723.7,5723.7,5723.7,5723.7,0,0.0,False,2012-04-06 01:00:00,1.0,2012-04-06,True,False
2012-04-09 00:00:00+00:00,5723.7,5723.7,5723.7,5723.7,0,0.0,False,2012-04-09 01:00:00,1.0,2012-04-09,True,False
2012-04-10 00:00:00+00:00,5723.7,5723.7,5595.6,5595.6,0,0.0,False,2012-04-10 01:00:00,1.0,2012-04-10,True,False
2012-04-11 00:00:00+00:00,5595.6,5655.9,5576.4,5634.7,0,0.0,False,2012-04-11 01:00:00,1.0,2012-04-11,True,False
2012-04-12 00:00:00+00:00,5634.7,5727.9,5602.6,5710.5,0,0.0,False,2012-04-12 01:00:00,1.0,2012-04-12,True,False
2012-04-13 00:00:00+00:00,5710.5,5710.8,5643.5,5651.8,0,0.0,False,2012-04-13 01:00:00,1.0,2012-04-13,True,False
