time,open,high,low,close,volume,n_bars,cash_frac,spread,vol_ok,lwall,ltime,ldate,in_cash,extreme
2024-08-04 21:00:00+00:00,1.09222,1.09243,1.09031,1.09064,3930,2,0.0,0.000280000000000058,True,2024-08-04 22:00:00,22.0,2024-08-04,False,False
2024-08-04 23:00:00+00:00,1.09066,1.0924,1.09045,1.09218,31985,4,0.0,5.999999999994898e-05,True,2024-08-05 00:00:00,0.0,2024-08-05,False,False
2024-08-05 03:00:00+00:00,1.09218,1.09398,1.08925,1.09053,51966,4,0.0,5.249999999995536e-05,True,2024-08-05 04:00:00,4.0,2024-08-05,False,False
2024-08-05 07:00:00+00:00,1.09052,1.09751,1.09035,1.09485,51025,4,1.0,2.999999999997449e-05,True,2024-08-05 08:00:00,8.0,2024-08-05,True,False
2024-08-05 11:00:00+00:00,1.09485,1.1009,1.09435,1.09793,68286,4,1.0,2.999999999997449e-05,True,2024-08-05 12:00:00,12.0,2024-08-05,True,False
2024-08-05 15:00:00+00:00,1.09793,1.09862,1.09475,1.09511,45946,4,1.0,2.999999999997449e-05,True,2024-08-05 16:00:00,16.0,2024-08-05,True,False
2024-08-05 19:00:00+00:00,1.09512,1.09623,1.09494,1.0955,12226,4,0.25,0.00015499999999996072,True,2024-08-05 20:00:00,20.0,2024-08-05,True,False
2024-08-05 23:00:00+00:00,1.0955,1.0963,1.09438,1.09521,26950,4,0.0,5.999999999994898e-05,True,2024-08-06 00:00:00,0.0,2024-08-06,False,False
2024-08-06 03:00:00+00:00,1.09521,1.09561,1.09344,1.09392,23937,4,0.0,5.249999999995536e-05,True,2024-08-06 04:00:00,4.0,2024-08-06,False,False
2024-08-06 07:00:00+00:00,1.09391,1.09408,1.09041,1.09085,23944,4,1.0,2.999999999997449e-05,True,2024-08-06 08:00:00,8.0,2024-08-06,True,False
2024-08-06 11:00:00+00:00,1.09089,1.0935,1.09037,1.09338,21111,4,1.0,2.999999999997449e-05,True,2024-08-06 12:00:00,12.0,2024-08-06,True,False
2024-08-06 15:00:00+00:00,1.09339,1.09342,1.09209,1.09286,19207,4,1.0,2.999999999997449e-05,True,2024-08-06 16:00:00,16.0,2024-08-06,True,False
2024-08-06 19:00:00+00:00,1.09287,1.09322,1.0923,1.09296,13163,4,0.25,0.00015500000000001624,True,2024-08-06 20:00:00,20.0,2024-08-06,True,False
2024-08-06 23:00:00+00:00,1.09297,1.09305,1.09111,1.09164,17496,4,0.0,5.999999999994898e-05,True,2024-08-07 00:00:00,0.0,2024-08-07,False,False
