timestamp_close_iso,timestamp_open_iso,marker_type,price_level,direction,segment,outcome,gate_branch,strength_trajectory,variant,entry,stop,exit,location_ref,location_level,dist_pts,dist_signal_atr
2026-07-23T14:32:00+00:00,2026-07-23T14:31:00+00:00,UPTHRUST_1min_OBSERVATIONAL,10636.1,SHORT,cash,SIGNATURE_MOMENT,,,uk100fut_extended_observational,,,,signal_swing_level,10654.3,-18.2,-0.72
2026-07-23T15:59:00+00:00,2026-07-23T15:58:00+00:00,SPRING_1min_OBSERVATIONAL,10630.8,LONG,post_close,SIGNATURE_MOMENT,,,uk100fut_extended_observational,,,,session_low,10609.3,21.5,0.85
2026-07-23T16:18:00+00:00,2026-07-23T16:17:00+00:00,SPRING_1min_OBSERVATIONAL,10637.6,LONG,post_close,SIGNATURE_MOMENT,,,uk100fut_extended_observational,,,,signal_swing_level,10654.3,-16.7,-0.75
2026-07-23T17:31:00+00:00,2026-07-23T17:30:00+00:00,SPRING_1min_OBSERVATIONAL,10607.1,LONG,post_close,SIGNATURE_MOMENT,,,uk100fut_extended_observational,,,,signal_swing_level,10609.3,-2.2,-0.12
2026-07-23T17:48:00+00:00,2026-07-23T17:47:00+00:00,UPTHRUST_1min_OBSERVATIONAL,10615.1,SHORT,post_close,SIGNATURE_MOMENT,,,uk100fut_extended_observational,,,,signal_swing_level,10620.3,-5.2,-0.3
2026-07-23T20:11:00+00:00,2026-07-23T20:10:00+00:00,UPTHRUST_1min_OBSERVATIONAL,10621.5,SHORT,post_close,SIGNATURE_MOMENT,,,uk100fut_extended_observational,,,,signal_swing_level,10620.3,1.2,0.1
2026-07-23T20:13:00+00:00,2026-07-23T20:12:00+00:00,UPTHRUST_1min_OBSERVATIONAL,10622.9,SHORT,post_close,SIGNATURE_MOMENT,,,uk100fut_extended_observational,,,,signal_swing_level,10620.3,2.6,0.21
2026-07-23T20:36:00+00:00,2026-07-23T20:35:00+00:00,UPTHRUST_1min_OBSERVATIONAL,10625.4,SHORT,overnight_asia,SIGNATURE_MOMENT,,,uk100fut_extended_observational,,,,session_high,10626.1,-0.7,-0.06
2026-07-23T20:44:00+00:00,2026-07-23T20:43:00+00:00,UPTHRUST_1min_OBSERVATIONAL,10622.2,SHORT,overnight_asia,SIGNATURE_MOMENT,,,uk100fut_extended_observational,,,,session_low,10620.9,1.3,0.11
2026-07-23T22:41:00+00:00,2026-07-23T22:40:00+00:00,UPTHRUST_1min_OBSERVATIONAL,10616.2,SHORT,overnight_asia,SIGNATURE_MOMENT,,,uk100fut_extended_observational,,,,signal_swing_level,10620.3,-4.1,-0.42
