time,open,high,low,close,volume
2024-08-04 21:00:00+00:00,1.09222,1.09243,1.09201,1.09212,322
2024-08-04 22:00:00+00:00,1.09213,1.0922,1.09031,1.09064,3608
2024-08-04 23:00:00+00:00,1.09066,1.09115,1.09045,1.09105,5610
2024-08-05 00:00:00+00:00,1.09106,1.09226,1.09069,1.09167,9416
2024-08-05 01:00:00+00:00,1.09166,1.09217,1.0912,1.09189,10145
2024-08-05 02:00:00+00:00,1.0919,1.0924,1.09131,1.09218,6814
2024-08-05 03:00:00+00:00,1.09218,1.09314,1.09209,1.09307,5023
2024-08-05 04:00:00+00:00,1.09308,1.09398,1.09277,1.09325,7764
2024-08-05 05:00:00+00:00,1.09326,1.09387,1.09121,1.09124,13072
2024-08-05 06:00:00+00:00,1.09126,1.09178,1.08925,1.09053,26107
2024-08-05 07:00:00+00:00,1.09052,1.0967,1.09035,1.0949,19946
2024-08-05 08:00:00+00:00,1.09491,1.09751,1.09465,1.0951,13881
2024-08-05 09:00:00+00:00,1.09509,1.09609,1.09452,1.09514,9994
2024-08-05 10:00:00+00:00,1.09514,1.09514,1.0933,1.09485,7204
2024-08-05 11:00:00+00:00,1.09485,1.09649,1.09435,1.09631,8344
2024-08-05 12:00:00+00:00,1.0963,1.1009,1.09616,1.09911,14840
2024-08-05 13:00:00+00:00,1.09913,1.10034,1.09756,1.09792,22259
2024-08-05 14:00:00+00:00,1.09791,1.098,1.09566,1.09793,22843
2024-08-05 15:00:00+00:00,1.09793,1.09862,1.0956,1.09563,14668
2024-08-05 16:00:00+00:00,1.09563,1.0961,1.09476,1.09599,14693
2024-08-05 17:00:00+00:00,1.09599,1.09644,1.09475,1.09534,9923
2024-08-05 18:00:00+00:00,1.09533,1.09575,1.09492,1.09511,6662
2024-08-05 19:00:00+00:00,1.09512,1.09585,1.09496,1.09583,4967
2024-08-05 20:00:00+00:00,1.0959,1.09603,1.09494,1.09529,2730
2024-08-05 21:00:00+00:00,1.09496,1.09541,1.09496,1.09536,234
2024-08-05 22:00:00+00:00,1.09537,1.09623,1.09528,1.0955,4295
2024-08-05 23:00:00+00:00,1.0955,1.09578,1.095,1.09507,4874
2024-08-06 00:00:00+00:00,1.09507,1.0963,1.09438,1.09627,10255
2024-08-06 01:00:00+00:00,1.09626,1.0963,1.09502,1.0955,6675
2024-08-06 02:00:00+00:00,1.0955,1.09577,1.09519,1.09521,5146
2024-08-06 03:00:00+00:00,1.09521,1.09561,1.09515,1.09541,3527
2024-08-06 04:00:00+00:00,1.09541,1.09559,1.09497,1.09521,4752
2024-08-06 05:00:00+00:00,1.0952,1.09551,1.09449,1.09466,7260
2024-08-06 06:00:00+00:00,1.09465,1.09487,1.09344,1.09392,8398
2024-08-06 07:00:00+00:00,1.09391,1.09408,1.09222,1.09269,7439
2024-08-06 08:00:00+00:00,1.09269,1.09351,1.09187,1.09278,6603
2024-08-06 09:00:00+00:00,1.09278,1.09278,1.09077,1.09121,5294
2024-08-06 10:00:00+00:00,1.09117,1.09143,1.09041,1.09085,4608
2024-08-06 11:00:00+00:00,1.09089,1.09176,1.09037,1.09167,4183
2024-08-06 12:00:00+00:00,1.09169,1.09179,1.09046,1.09052,5936
2024-08-06 13:00:00+00:00,1.09056,1.09246,1.09056,1.09186,5329
2024-08-06 14:00:00+00:00,1.09187,1.0935,1.09153,1.09338,5663
2024-08-06 15:00:00+00:00,1.09339,1.09342,1.09224,1.09253,6729
2024-08-06 16:00:00+00:00,1.09255,1.09323,1.09209,1.09279,5472
2024-08-06 17:00:00+00:00,1.09278,1.09311,1.09228,1.09259,3614
2024-08-06 18:00:00+00:00,1.09261,1.09338,1.09252,1.09286,3392
2024-08-06 19:00:00+00:00,1.09287,1.09305,1.0923,1.09299,5226
2024-08-06 20:00:00+00:00,1.09299,1.09322,1.09277,1.09314,3395
2024-08-06 21:00:00+00:00,1.09304,1.09319,1.09273,1.0929,669
2024-08-06 22:00:00+00:00,1.09285,1.09321,1.09276,1.09296,3873
2024-08-06 23:00:00+00:00,1.09297,1.09304,1.09239,1.09259,2017
2024-08-07 00:00:00+00:00,1.0926,1.09305,1.09233,1.09298,3719
2024-08-07 01:00:00+00:00,1.09298,1.09305,1.09111,1.09183,5750
