time,open,high,low,close,volume
2024-08-04 22:00:00+00:00,8161.1,8194.9,8153.1,8181.9,2788
2024-08-04 23:00:00+00:00,8182.1,8183.6,8145.9,8161.2,3887
2024-08-05 00:00:00+00:00,8173.0,8195.8,8144.4,8150.7,7889
2024-08-05 01:00:00+00:00,8150.6,8174.2,8135.1,8164.8,8106
2024-08-05 02:00:00+00:00,8164.8,8177.4,8150.0,8167.0,6246
2024-08-05 03:00:00+00:00,8167.0,8173.7,8141.4,8143.5,5029
2024-08-05 04:00:00+00:00,8143.4,8145.1,8099.6,8103.3,6233
2024-08-05 05:00:00+00:00,8102.8,8107.3,8047.3,8065.3,2766
2024-08-05 06:00:00+00:00,8067.8,8086.8,8007.0,8029.5,4192
2024-08-05 07:00:00+00:00,8027.8,8041.3,7970.1,7991.7,14651
2024-08-05 08:00:00+00:00,7992.2,8024.5,7979.4,7996.7,8934
2024-08-05 09:00:00+00:00,7996.5,8017.7,7976.2,8015.7,5862
2024-08-05 10:00:00+00:00,8016.2,8025.5,7966.2,7980.0,5172
2024-08-05 11:00:00+00:00,7979.5,7992.2,7934.5,7941.8,4489
2024-08-05 12:00:00+00:00,7941.5,7950.8,7913.7,7926.7,8709
2024-08-05 13:00:00+00:00,7926.2,7985.2,7921.2,7956.1,10191
2024-08-05 14:00:00+00:00,7955.9,8009.3,7955.9,7985.5,13045
2024-08-05 15:00:00+00:00,7985.2,8023.0,7973.7,8012.5,11751
2024-08-05 16:00:00+00:00,8012.7,8056.7,8005.4,8009.1,6439
2024-08-05 17:00:00+00:00,8008.6,8033.0,8000.2,8014.6,2872
2024-08-05 18:00:00+00:00,8014.1,8038.5,8008.6,8011.8,2980
2024-08-05 19:00:00+00:00,8012.8,8017.3,7997.7,8008.1,2849
2024-08-05 20:00:00+00:00,8008.1,8045.3,7998.5,8038.8,3003
2024-08-05 22:00:00+00:00,8048.1,8069.0,8033.6,8048.0,3082
2024-08-05 23:00:00+00:00,8047.2,8064.8,8041.1,8055.4,2600
2024-08-06 00:00:00+00:00,8047.4,8080.2,8038.5,8077.0,6456
2024-08-06 01:00:00+00:00,8077.2,8089.5,8047.5,8063.4,6314
2024-08-06 02:00:00+00:00,8063.4,8068.5,8049.9,8054.9,4621
2024-08-06 03:00:00+00:00,8054.9,8078.3,8053.8,8071.1,3963
2024-08-06 04:00:00+00:00,8071.1,8075.5,8065.1,8071.7,4079
2024-08-06 05:00:00+00:00,8071.8,8102.7,8053.0,8096.5,1759
2024-08-06 06:00:00+00:00,8099.3,8119.6,8056.9,8062.3,3054
2024-08-06 07:00:00+00:00,8061.8,8061.8,8018.9,8038.6,10289
2024-08-06 08:00:00+00:00,8038.3,8040.8,7997.4,8017.0,6117
2024-08-06 09:00:00+00:00,8016.7,8017.0,7967.2,7994.4,6314
2024-08-06 10:00:00+00:00,7994.1,8024.8,7971.1,8014.3,4917
2024-08-06 11:00:00+00:00,8015.0,8020.0,7970.3,7991.8,4277
2024-08-06 12:00:00+00:00,7992.1,7992.8,7948.9,7957.2,5599
2024-08-06 13:00:00+00:00,7957.5,8016.9,7954.2,8013.9,10048
2024-08-06 14:00:00+00:00,8013.7,8052.0,8000.9,8042.5,10286
2024-08-06 15:00:00+00:00,8042.3,8051.9,8016.1,8034.5,9679
2024-08-06 16:00:00+00:00,8034.7,8052.9,8028.3,8050.4,4137
2024-08-06 17:00:00+00:00,8050.9,8078.0,8048.4,8073.8,2271
2024-08-06 18:00:00+00:00,8074.0,8091.5,8067.8,8082.7,2127
2024-08-06 19:00:00+00:00,8082.5,8090.7,8066.4,8066.9,3985
2024-08-06 20:00:00+00:00,8070.7,8076.0,8031.6,8047.4,3491
2024-08-06 22:00:00+00:00,8038.9,8069.3,8034.0,8052.2,2819
2024-08-06 23:00:00+00:00,8052.4,8059.8,8037.3,8040.9,2178
2024-08-07 00:00:00+00:00,8037.3,8082.4,8036.7,8078.0,5998
2024-08-07 01:00:00+00:00,8078.1,8116.7,8073.3,8112.7,5297
2024-08-07 02:00:00+00:00,8112.6,8123.6,8105.3,8109.0,4654
2024-08-07 03:00:00+00:00,8109.0,8120.9,8105.8,8119.0,4168
2024-08-07 04:00:00+00:00,8118.9,8131.5,8118.3,8127.0,4327
2024-08-07 05:00:00+00:00,8126.8,8131.2,8112.4,8120.1,779
2024-08-07 06:00:00+00:00,8119.8,8123.3,8079.9,8083.6,1927
2024-08-07 07:00:00+00:00,8086.8,8109.0,8058.4,8099.7,7953
2024-08-07 08:00:00+00:00,8100.4,8103.1,8066.8,8090.7,4922
2024-08-07 09:00:00+00:00,8091.0,8098.2,8078.4,8097.0,4361
2024-08-07 10:00:00+00:00,8097.3,8113.5,8095.3,8112.0,2904
2024-08-07 11:00:00+00:00,8111.5,8124.0,8107.7,8119.1,3055
2024-08-07 12:00:00+00:00,8119.6,8137.7,8104.3,8136.2,3316
2024-08-07 13:00:00+00:00,8135.4,8175.1,8135.2,8174.1,5887
2024-08-07 14:00:00+00:00,8174.6,8177.4,8147.8,8166.0,7421
2024-08-07 15:00:00+00:00,8166.2,8171.2,8147.6,8162.8,5696
2024-08-07 16:00:00+00:00,8163.3,8163.5,8135.3,8136.0,4557
2024-08-07 17:00:00+00:00,8135.5,8146.0,8116.4,8123.4,3480
2024-08-07 18:00:00+00:00,8123.1,8123.1,8092.1,8107.0,3674
2024-08-07 19:00:00+00:00,8107.2,8123.7,8102.3,8106.8,3750
2024-08-07 20:00:00+00:00,8106.8,8118.8,8074.8,8082.5,1995
2024-08-07 22:00:00+00:00,8070.3,8093.5,8067.5,8084.2,2797
2024-08-07 23:00:00+00:00,8083.8,8086.3,8045.1,8077.0,3291
2024-08-08 00:00:00+00:00,8075.9,8087.8,8060.7,8068.0,6007
2024-08-08 01:00:00+00:00,8068.0,8091.4,8065.8,8089.7,4536
2024-08-08 02:00:00+00:00,8089.8,8112.0,8089.8,8111.9,4154
2024-08-08 03:00:00+00:00,8112.0,8122.7,8108.8,8110.5,3868
2024-08-08 04:00:00+00:00,8110.5,8111.5,8089.4,8095.8,4755
