utc_time,currency,name
2026-08-12T12:30:00Z,USD,CPI m/m
2026-08-12T12:30:00Z,USD,CPI y/y
2026-08-12T12:30:00Z,USD,Core CPI m/m
2026-08-12T12:30:00Z,USD,Core CPI y/y
2026-08-13T06:00:00Z,GBP,GDP m/m
2026-08-13T12:30:00Z,USD,Core PPI m/m
2026-08-13T12:30:00Z,USD,PPI m/m
