time,open,high,low,close,volume
2025-08-04 17:30:00+00:00,1.15693,1.15722,1.15646,1.15653,1329
2025-08-04 17:45:00+00:00,1.15652,1.15745,1.15646,1.15733,2000
2025-08-04 18:00:00+00:00,1.15733,1.15759,1.15722,1.15752,2017
2025-08-04 18:15:00+00:00,1.15751,1.1578,1.15719,1.15725,1802
2025-08-04 18:30:00+00:00,1.15725,1.15732,1.15663,1.15699,1994
2025-08-04 18:45:00+00:00,1.15698,1.1571,1.15643,1.15657,2783
2025-08-04 19:00:00+00:00,1.15656,1.15714,1.15643,1.15684,1744
2025-08-04 19:15:00+00:00,1.15684,1.15727,1.15678,1.15717,1429
2025-08-04 19:30:00+00:00,1.15716,1.15732,1.15662,1.15679,1797
2025-08-04 19:45:00+00:00,1.15679,1.1569,1.15633,1.15683,1862
2025-08-04 20:00:00+00:00,1.15685,1.15725,1.15657,1.15724,1423
2025-08-04 20:15:00+00:00,1.15723,1.15764,1.1572,1.15757,1198
2025-08-04 20:30:00+00:00,1.15757,1.15759,1.15719,1.15726,1025
2025-08-04 20:45:00+00:00,1.15726,1.15758,1.15715,1.15717,1133
2025-08-04 21:00:00+00:00,1.15744,1.15744,1.15731,1.15739,67
2025-08-04 21:15:00+00:00,1.1574,1.15748,1.15722,1.15728,86
2025-08-04 21:30:00+00:00,1.15729,1.1574,1.15719,1.15722,207
2025-08-04 21:45:00+00:00,1.15723,1.15727,1.15715,1.15717,101
2025-08-04 22:00:00+00:00,1.15692,1.15782,1.15688,1.15761,846
2025-08-04 22:15:00+00:00,1.15761,1.15799,1.15757,1.15799,666
2025-08-04 22:30:00+00:00,1.15799,1.15819,1.15772,1.15793,1054
2025-08-04 22:45:00+00:00,1.15794,1.15811,1.1578,1.15796,532
2025-08-04 23:00:00+00:00,1.15796,1.15859,1.15781,1.1585,1682
2025-08-04 23:15:00+00:00,1.15851,1.15856,1.15822,1.15853,605
2025-08-04 23:30:00+00:00,1.15854,1.15858,1.15826,1.15834,504
2025-08-04 23:45:00+00:00,1.15834,1.1585,1.15822,1.15843,808
2025-08-05 00:00:00+00:00,1.15843,1.15882,1.15843,1.15866,1305
2025-08-05 00:15:00+00:00,1.15865,1.15871,1.15791,1.15794,1125
2025-08-05 00:30:00+00:00,1.15795,1.15799,1.15749,1.1576,1646
2025-08-05 00:45:00+00:00,1.15759,1.1577,1.15713,1.15724,1917
2025-08-05 01:00:00+00:00,1.15724,1.15745,1.15599,1.1561,2066
2025-08-05 01:15:00+00:00,1.15609,1.15684,1.156,1.15677,1970
2025-08-05 01:30:00+00:00,1.15678,1.15702,1.1565,1.15696,1181
2025-08-05 01:45:00+00:00,1.15696,1.15741,1.15636,1.15642,1476
2025-08-05 02:00:00+00:00,1.15643,1.15647,1.15574,1.15611,1503
2025-08-05 02:15:00+00:00,1.15611,1.15631,1.15584,1.156,1459
2025-08-05 02:30:00+00:00,1.156,1.15603,1.15561,1.15581,1844
2025-08-05 02:45:00+00:00,1.15582,1.15618,1.15581,1.15607,1331
2025-08-05 03:00:00+00:00,1.15606,1.15618,1.15583,1.15606,925
2025-08-05 03:15:00+00:00,1.15606,1.15613,1.15545,1.15581,1063
2025-08-05 03:30:00+00:00,1.15581,1.15612,1.15557,1.15611,690
2025-08-05 03:45:00+00:00,1.15611,1.15617,1.15551,1.15557,1192
2025-08-05 04:00:00+00:00,1.15558,1.15579,1.15546,1.15563,897
2025-08-05 04:15:00+00:00,1.15562,1.15579,1.15548,1.15562,772
2025-08-05 04:30:00+00:00,1.15563,1.15606,1.1556,1.15591,1043
2025-08-05 04:45:00+00:00,1.15591,1.15607,1.15583,1.15587,605
2025-08-05 05:00:00+00:00,1.15587,1.15587,1.15548,1.15569,873
2025-08-05 05:15:00+00:00,1.15568,1.15571,1.15521,1.15542,738
2025-08-05 05:30:00+00:00,1.15543,1.15548,1.15444,1.15489,2337
2025-08-05 05:45:00+00:00,1.15488,1.15514,1.1547,1.15485,1313
2025-08-05 06:00:00+00:00,1.15484,1.15497,1.1543,1.15496,2624
2025-08-05 06:15:00+00:00,1.15495,1.15615,1.15481,1.15561,2154
2025-08-05 06:30:00+00:00,1.15561,1.15561,1.15489,1.155,1394
2025-08-05 06:45:00+00:00,1.15501,1.15525,1.1546,1.15511,1712
2025-08-05 07:00:00+00:00,1.15512,1.1557,1.15485,1.15556,2751
2025-08-05 07:15:00+00:00,1.15558,1.15627,1.15558,1.15599,2264
2025-08-05 07:30:00+00:00,1.156,1.1561,1.15523,1.15565,2210
2025-08-05 07:45:00+00:00,1.15563,1.15563,1.15333,1.15466,6087
2025-08-05 08:00:00+00:00,1.15466,1.15496,1.15419,1.1543,3895
2025-08-05 08:15:00+00:00,1.1543,1.15462,1.15373,1.15431,3194
