time,open,high,low,close,volume
2025-08-10 22:00:00+00:00,9105.9,9106.1,9101.1,9104.4,204
2025-08-10 22:15:00+00:00,9104.6,9108.1,9103.1,9105.1,304
2025-08-10 22:30:00+00:00,9104.9,9105.4,9103.4,9103.6,126
2025-08-10 22:45:00+00:00,9103.9,9104.4,9103.4,9103.8,79
2025-08-10 23:00:00+00:00,9103.6,9105.9,9101.4,9101.4,184
2025-08-10 23:15:00+00:00,9101.1,9101.4,9097.4,9097.4,110
2025-08-10 23:30:00+00:00,9097.5,9099.2,9095.9,9096.7,127
2025-08-10 23:45:00+00:00,9096.4,9098.2,9096.4,9097.2,113
2025-08-11 00:00:00+00:00,9095.2,9105.1,9094.5,9104.8,340
2025-08-11 00:15:00+00:00,9105.0,9106.3,9103.6,9105.5,280
2025-08-11 00:30:00+00:00,9105.6,9106.7,9104.2,9105.5,239
2025-08-11 00:45:00+00:00,9105.7,9107.1,9103.1,9105.5,232
2025-08-11 01:00:00+00:00,9105.4,9107.4,9102.4,9106.8,248
2025-08-11 01:15:00+00:00,9107.2,9107.8,9104.8,9107.3,272
2025-08-11 01:30:00+00:00,9107.1,9108.6,9106.2,9108.0,368
2025-08-11 01:45:00+00:00,9107.8,9108.5,9105.8,9108.3,264
2025-08-11 02:00:00+00:00,9108.1,9110.0,9108.0,9108.5,230
2025-08-11 02:15:00+00:00,9108.7,9109.0,9106.5,9107.0,295
2025-08-11 02:30:00+00:00,9106.8,9108.4,9105.6,9106.8,310
2025-08-11 02:45:00+00:00,9106.7,9108.0,9106.1,9108.0,305
2025-08-11 03:00:00+00:00,9108.1,9110.2,9107.4,9109.3,307
2025-08-11 03:15:00+00:00,9109.5,9109.8,9106.8,9107.7,233
2025-08-11 03:30:00+00:00,9107.3,9108.0,9105.5,9105.8,189
2025-08-11 03:45:00+00:00,9105.6,9107.1,9104.5,9105.8,194
2025-08-11 04:00:00+00:00,9105.4,9106.2,9103.5,9106.2,147
2025-08-11 04:15:00+00:00,9106.3,9106.3,9103.0,9103.5,218
2025-08-11 04:30:00+00:00,9103.3,9104.0,9102.3,9103.0,134
2025-08-11 04:45:00+00:00,9102.8,9104.8,9102.8,9104.5,152
2025-08-11 05:00:00+00:00,9104.6,9104.6,9101.3,9102.1,160
2025-08-11 05:15:00+00:00,9101.8,9102.8,9101.1,9102.1,120
2025-08-11 05:30:00+00:00,9101.3,9103.3,9100.8,9101.8,213
2025-08-11 05:45:00+00:00,9101.6,9103.6,9100.8,9103.3,150
